Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,produktivitas (produksi/luas lahan),luas provinsi,rasio penggunaan lahan (luas panen/luas provinsi)
Riau,2020,269344.05,64733.13,2584.9,81.8,25.93,4.160837735,89936000,0.0007197688356
Jambi,1993,607529,199431,1954,83.81,26.29,3.046311757,49027000,0.004067778979
Jambi,1994,564722,184029,1824,81.25,25.51,3.068657657,49027000,0.003753625553
Jambi,1995,593502,193666,2290.1,83.96,26.22,3.064564766,49027000,0.003950190711
Jambi,1996,657650,215975,2309.1,83.6,26,3.04502836,49027000,0.004405225692
Jambi,1997,572269,190608,1030.1,80.64,26.5,3.002334634,49027000,0.003887816917
Jambi,1998,550277,178766,2383.8,83.47,26.78,3.078197196,49027000,0.003646276541
Jambi,1999,553641,178307,2429.3,83.25,26.34,3.104987465,49027000,0.003636914353
Jambi,2000,536779,171395,840.3,84.85,27.76,3.131824149,49027000,0.003495930814
Jambi,2001,556564,164826,2515.2,72.4,28.12,3.37667601,49027000,0.003361943419
Jambi,2002,561007,165729,2044.5,70.77,28.82,3.385086497,49027000,0.003380361841
Jambi,2003,578346,159463,2508.1,71.28,29.39,3.626835065,49027000,0.003252554715
Jambi,2004,579404,156803,2561,82.74,28.95,3.695107874,49027000,0.003198298897
Jambi,2005,579635,154941,1015.7,84.8,26.8,3.74100464,49027000,0.003160319824
Jambi,2006,544597,140613,424.7,85,26.77,3.873020276,49027000,0.002868072695
Jambi,2007,58663,149888,2394,86,26.6,0.3913788962,49027000,0.003057254166
Jambi,2008,581704,143034,2230,83.7,26.5,4.066893186,49027000,0.002917453648
Jambi,2009,644947,155802,2299,83.8,27.1,4.139529659,49027000,0.003177881575
Jambi,2010,628828,153897,3207,84.6,27.1,4.086031567,49027000,0.003139025435
Jambi,2011,646641,157441,2295,82.5,26.9,4.107195711,49027000,0.003211312134
Jambi,2012,625164,149369,1874,81.4,26.7,4.185366441,49027000,0.003046668162
Jambi,2013,664535,153243,2093,83.42,26.8,4.336478665,49027000,0.003125685847
Jambi,2014,664720,145990,1781,82.8,27.2,4.553188575,49027000,0.002977746956
Jambi,2015,541486,122214,1694.9,82.1,27,4.430638061,49027000,0.002492789687
Jambi,2016,642095,96588,1502.4,83.84,26.84,6.64777198,49027000,0.001970098109
Jambi,2017,678127,97690,2193.2,83.69,26.62,6.941621456,49027000,0.00199257552
Jambi,2018,383045.74,86202.68,2182.3,82.23,26.62,4.443547927,49027000,0.001758269525
Jambi,2019,309932.68,69536.06,1773.4,81.44,26.94,4.457150434,49027000,0.001418321741
Jambi,2020,374376.27,84772.93,2303.8,78.24,25.85,4.416224259,49027000,0.001729107023
Sumatera Selatan,1993,1409559,439895,2815,82.78,26.38,3.204307846,91592000,0.004802766617
Sumatera Selatan,1994,1347611,422109,1800,79.89,26.53,3.192566375,91592000,0.004608579352
Sumatera Selatan,1995,1557944,492448,2800,82.71,26.54,3.163672103,91592000,0.005376539436
Sumatera Selatan,1996,1666591,495958,2614,82.45,26.34,3.360347046,91592000,0.00541486156
Sumatera Selatan,1997,1577398,469670,1558.3,78.47,26.75,3.35852407,91592000,0.005127849594
Sumatera Selatan,1998,1931505,621829,2539.3,82.58,26.19,3.106167451,91592000,0.006789119137
Sumatera Selatan,1999,1789961,530692,2704.7,81.01,25.67,3.372881068,91592000,0.00579408682
Sumatera Selatan,2000,1863643,555427,2632.5,83.26,25.32,3.355333824,91592000,0.006064143157
Sumatera Selatan,2001,1723433,511928,2837.5,72.06,28.83,3.3665535,91592000,0.005589221766
Sumatera Selatan,2002,1899849,561724,2368.2,70.36,28.23,3.382175232,91592000,0.006132893703
Sumatera Selatan,2003,1977345,570010,2674,69.59,29.64,3.468965457,91592000,0.006223360119
Sumatera Selatan,2004,2260794,625013,2182.6,80.96,28.7,3.617195162,91592000,0.006823881998
Sumatera Selatan,2005,2320110,626849,1356.9,82.5,27.1,3.701226292,91592000,0.006843927417
Sumatera Selatan,2006,2456251,646927,1442,80,27.1,3.796797784,91592000,0.007063138702
Sumatera Selatan,2007,2753044,691467,2364.7,83.5,27,3.981453923,91592000,0.007549425714
Sumatera Selatan,2008,2971286,718797,2685.7,84.8,26.9,4.133692823,91592000,0.00784781422
Sumatera Selatan,2009,3125236,746465,2389,82.3,27.4,4.186714715,91592000,0.008149893004
Sumatera Selatan,2010,3272451,769478,3396,85.25,27.08,4.252819444,91592000,0.008401148572
Sumatera Selatan,2011,3384670,784820,2593,84.8,27.3,4.312670421,91592000,0.008568652284
Sumatera Selatan,2012,3295247,769725,3083,83,27.4,4.281070512,91592000,0.008403845314
Sumatera Selatan,2013,3676723,800036,3409,84,27.3,4.595696944,91592000,0.00873478033
Sumatera Selatan,2014,3670435,810900,1668.3,81,26,4.526371932,91592000,0.008853393309
Sumatera Selatan,2015,4247922,872737,1947.2,79.5,27.7,4.867356374,91592000,0.009528528692
Sumatera Selatan,2016,4881089,615184,3477.9,82.22,27.31,7.934356225,91592000,0.006716569133
Sumatera Selatan,2017,4807430,621903,2489.5,81.08,26.75,7.730192651,91592000,0.006789927068
Sumatera Selatan,2018,2994191.84,581574.61,2252.4,77.66,27,5.148422556,91592000,0.006349622347
Sumatera Selatan,2019,2603396.24,539316.52,1655.5,85.13,27.6,4.827213971,91592000,0.005888249192
Sumatera Selatan,2020,2696877.46,551320.76,2300.2,81.1,26.14,4.891666804,91592000,0.006019311294
Bengkulu,1993,356709,109807,4150,85.5,25.95,3.248508747,19919000,0.005512676339
Bengkulu,1994,334232,104747,2043,85.32,25.68,3.190850335,19919000,0.005258647522
Bengkulu,1995,377337,115914,4478,85.49,26.12,3.255318598,19919000,0.005819268036
Bengkulu,1996,396977,121929,3931,85.96,25.66,3.255804608,19919000,0.006121241026
Bengkulu,1997,382123,113915,1167,84,25.84,3.354457271,19919000,0.005718911592
Bengkulu,1998,375533,111158,4114,85.34,26.4,3.378371327,19919000,0.005580501029
Bengkulu,1999,381577,114788,3084,84.72,25.81,3.32418894,19919000,0.005762739093
Bengkulu,2000,362979,108751,3254,84.73,24.22,3.337707239,19919000,0.00545966163
Bengkulu,2001,376973,105212,3010,70.15,26.8,3.582984831,19919000,0.005281992068
Bengkulu,2002,379818,109519,3076,67.98,28.5,3.468055771,19919000,0.005498217782
Bengkulu,2003,413375,110550,3030,70.3,29.5,3.739258254,19919000,0.005549977409
Bengkulu,2004,414741,110929,3277,84.28,29.7,3.738796888,19919000,0.005569004468
Bengkulu,2005,441276,116818,3375.2,84.7,25.7,3.777465802,19919000,0.00586465184
Bengkulu,2006,378377,100991,2313.8,83.3,26.1,3.74664079,19919000,0.00507008384
Bengkulu,2007,470469,123853,3150,84.2,26.4,3.798608027,19919000,0.00621783222
Bengkulu,2008,484900,127506,3396,84.2,26.3,3.802958292,19919000,0.006401224961
Bengkulu,2009,510160,132975,3850,84.1,26.5,3.836510622,19919000,0.006675786937
Bengkulu,2010,516869,133629,3822,84,26.8,3.867940342,19919000,0.006708619911
Bengkulu,2011,502552,127934,2465.7,82.52,26.35,3.928212985,19919000,0.006422711984
Bengkulu,2012,581910,144448,2545,82,26.9,4.028508529,19919000,0.007251769667
Bengkulu,2013,622832,147680,3980.9,83.93,26.7,4.21744312,19919000,0.007414026809
Bengkulu,2014,593194,147572,3323,83.7,26.9,4.019692083,19919000,0.00740860485
Bengkulu,2015,578654,128833,2668.9,83.2,27,4.491504506,19919000,0.006467844771
Bengkulu,2016,629224,83449,3350.1,83.38,26.77,7.540222172,19919000,0.004189417139
Bengkulu,2017,714017,82429,3949.8,84.2,26.52,8.662206262,19919000,0.004138209749
Bengkulu,2018,288810.52,65891.16,3649.9,83.79,26.64,4.383145175,19919000,0.003307955219
Bengkulu,2019,296472.07,64406.86,1786.2,83.26,26.56,4.60311324,19919000,0.003233438426
Bengkulu,2020,296925.16,64137.28,4144,80.18,25.84,4.629525293,19919000,0.003219904614
Lampung,1993,1646900,433078,2306.7,84.82,26.41,3.802779176,33575000,0.01289882353
Lampung,1994,1615751,425940,2034.2,77.51,25.73,3.793377001,33575000,0.01268622487
Lampung,1995,1943709,514363,3039.4,82.81,26.43,3.778866287,33575000,0.0153198213
Lampung,1996,1971740,515192,1934.9,82.61,26.27,3.827194522,33575000,0.01534451229
Lampung,1997,1753656,454087,1253.3,78.46,26.68,3.861938351,33575000,0.01352455696
Lampung,1998,1975700,521575,2584.9,84.07,26.95,3.787949959,33575000,0.01553462398
Lampung,1999,1801422,476899,2364.7,83.46,26.24,3.777365857,33575000,0.01420399106
Lampung,2000,1946406,496879,1488.5,82.86,28.2,3.917263559,33575000,0.01479907669
Lampung,2001,1992726,501119,2013.1,77.83,26.71,3.976552476,33575000,0.01492536113
Lampung,2002,1951109,475461,2143.5,75.84,27.5,4.103615228,33575000,0.01416116158
Lampung,2003,1966293,472635,1682.2,68.71,29.67,4.160278016,33575000,0.01407699181
Lampung,2004,2091996,495519,2042.9,81.47,29.66,4.221828023,33575000,0.01475857036
Lampung,2005,2124144,496538,1612.8,79.6,26.59,4.277908237,33575000,0.01478892033
Lampung,2006,2129914,494102,560.3,74.6,26.18,4.310676743,33575000,0.01471636634
Lampung,2007,2308404,524955,1941.4,75.9,27.6,4.397336915,33575000,0.01563529412
Lampung,2008,2341075,506547,1940.1,79,26.4,4.62163432,33575000,0.01508702904
Lampung,2009,2673844,570417,1789,79.1,26.7,4.687525091,33575000,0.0169893373
Lampung,2010,2807676,590608,2710,82.3,26.7,4.753873974,33575000,0.01759070737
Lampung,2011,2940795,606973,1568,77.8,26.8,4.845017818,33575000,0.0180781236
Lampung,2012,3101455,641876,1685,79.2,26.8,4.831860048,33575000,0.01911767684
Lampung,2013,3207002,638090,2456.7,81,26.7,5.025939914,33575000,0.01900491437
Lampung,2014,3320064,648731,1682.5,79.9,25.8,5.117782255,33575000,0.01932184661
Lampung,2015,3641895,707266,1628.1,78.9,27.1,5.149257846,33575000,0.02106525689
Lampung,2016,3831923,390799,2317.6,79.4,26.45,9.805355183,33575000,0.01163958302
Lampung,2017,4090654,396559,1825.1,77.04,26.36,10.315373,33575000,0.01181113924
Lampung,2018,2488641.91,511940.93,1385.8,76.05,25.5,4.861189571,33575000,0.0152476822
Lampung,2019,2164089.33,464103.42,1706.4,78.03,27.23,4.662946311,33575000,0.01382288667
Lampung,2020,2604913.29,545149.05,2211.3,75.8,24.58,4.7783506,33575000,0.01623675503
